year,month,country,actuals,predictions
1994,12,United Kingdom,131.21571019563044,87.28474871027994
1995,1,United Kingdom,141.28528026436197,91.78587789632405
1995,2,United Kingdom,118.93601318504172,94.71791192521913
1995,3,United Kingdom,83.95284224099434,64.621459357579
1995,4,United Kingdom,40.92755533491648,70.60776364868597
1995,5,United Kingdom,70.36319159611512,65.1079960809243
1995,6,United Kingdom,33.19152702526068,80.91783979834237
1995,7,United Kingdom,57.72836646432875,45.19976309885902
1995,8,United Kingdom,16.659979969017897,55.30359738819835
1995,9,United Kingdom,117.49345590659291,101.82589281753197
1995,10,United Kingdom,104.96544433602408,99.9098188262714
1995,11,United Kingdom,78.31394511150089,92.20705073483043
1995,12,United Kingdom,60.57176028653688,72.19245904955058
1996,1,United Kingdom,69.90271116910232,103.16820656082172
1996,2,United Kingdom,89.83728678712714,68.32752772745053
1996,3,United Kingdom,54.12303460573981,74.86122782229303
1996,4,United Kingdom,74.38330981693484,77.22659771864785
1996,5,United Kingdom,79.30854162130733,62.848589585781795
1996,6,United Kingdom,44.47491599588798,76.29564143630444
1996,7,United Kingdom,63.48191590930284,73.1625606663342
1996,8,United Kingdom,77.81459247230852,83.31920389177193
1996,9,United Kingdom,40.25001572601656,94.39258881171405
1996,10,United Kingdom,114.4770967851946,77.49384686007033
1996,11,United Kingdom,111.93388540473748,96.26869885396836
1996,12,United Kingdom,57.33475225560095,87.55912775672294
1997,1,United Kingdom,25.52098379532189,80.578963375177
1997,2,United Kingdom,134.2360968546102,70.0079226677143
1997,3,United Kingdom,63.11843750273601,90.62630422840377
1997,4,United Kingdom,44.4314796641448,83.92249463909022
1997,5,United Kingdom,87.89679421097966,61.20012369626374
1997,6,United Kingdom,110.86983184207726,92.25537173153042
1997,7,United Kingdom,75.17876766103086,57.76152685174742
1997,8,United Kingdom,83.35733927870382,60.42822833178477
1997,9,United Kingdom,57.060079726761394,81.20887093497386
1997,10,United Kingdom,64.08833433094387,73.64226260421074
1997,11,United Kingdom,97.7454175588142,79.74259561949192
1997,12,United Kingdom,109.23579069319597,90.30866611482477
1998,1,United Kingdom,111.78407375189282,96.77485220786846
1998,2,United Kingdom,66.10411384029915,82.73496245658006
1998,3,United Kingdom,95.2472122033367,75.26871726204719
1998,4,United Kingdom,123.76401331996152,82.78050590096747
1998,5,United Kingdom,48.91879980006573,77.1186430678016
1998,6,United Kingdom,124.65998473095982,71.56243918788459
1998,7,United Kingdom,93.2687134075055,80.07095263698457
1998,8,United Kingdom,66.56202263299828,89.89734829656805
1998,9,United Kingdom,87.89053943637832,96.95397550961538
1998,10,United Kingdom,152.06110469890956,77.1239810187743
1998,11,United Kingdom,99.9559154292632,77.5657559402111
1998,12,United Kingdom,100.67469100186612,84.33743826591945
1999,1,United Kingdom,133.99371997171053,100.2723640438711
1999,2,United Kingdom,65.08462342899944,63.02310807595288
1999,3,United Kingdom,86.14859723965495,77.22592169551555
1999,4,United Kingdom,90.07039814459948,76.30979209787965
1999,5,United Kingdom,77.49566152729854,73.36800767999156
1999,6,United Kingdom,91.66961652176096,79.63826074608852
1999,7,United Kingdom,52.0084756242341,55.26062252387829
1999,8,United Kingdom,94.9829295741376,92.82948976843404
1999,9,United Kingdom,120.83108543335274,88.38804106416906
1999,10,United Kingdom,73.80069965492473,110.82049856720249
1999,11,United Kingdom,93.37401073350082,85.85995784430867
1999,12,United Kingdom,148.27618324970368,91.49696570069791
2000,1,United Kingdom,80.36501658071526,100.28508411474837
2000,2,United Kingdom,112.01550926181515,83.17032779391155
2000,3,United Kingdom,58.92411164364205,62.83259283698121
2000,4,United Kingdom,121.90222826502198,87.19224989082693
2000,5,United Kingdom,83.27953946514803,62.57584601457874
2000,6,United Kingdom,64.21892952849389,74.84677914539282
2000,7,United Kingdom,66.96236300970558,80.83616213148805
2000,8,United Kingdom,88.21640979611912,79.5934802642013
2000,9,United Kingdom,129.92558573210746,94.73236769327418
2000,10,United Kingdom,154.85929336095828,100.15467208595219
2000,11,United Kingdom,128.83447480583138,87.0784066430509
2000,12,United Kingdom,127.61244233252816,91.80940103177936
2001,1,United Kingdom,63.92000269505658,94.07206120171162
2001,2,United Kingdom,90.31525406992594,68.95618784389244
2001,3,United Kingdom,83.21373998659989,73.66105610468236
2001,4,United Kingdom,92.95201731658656,70.82258499888293
2001,5,United Kingdom,48.84465953802843,67.99387590689655
2001,6,United Kingdom,65.25667937933541,71.33862964382666
2001,7,United Kingdom,89.87576299838432,68.78379715344262
2001,8,United Kingdom,97.03486562754227,82.17941373243792
2001,9,United Kingdom,76.46783240634562,92.77322953007362
2001,10,United Kingdom,143.4788982022227,81.46308508852903
2001,11,United Kingdom,69.90777715799942,87.9519098243894
2001,12,United Kingdom,59.97392700564552,89.84546793909063
2002,1,United Kingdom,103.67976609574204,102.09867141122088
2002,2,United Kingdom,143.84368322207945,89.08791803998876
2002,3,United Kingdom,68.33854103536522,95.03912870562286
2002,4,United Kingdom,62.20635530893217,81.29922012083985
2002,5,United Kingdom,107.00598125779447,60.13908091880805
2002,6,United Kingdom,92.78846661578034,75.78862054209166
2002,7,United Kingdom,102.45319637527662,87.33517564048691
2002,8,United Kingdom,75.77074261274217,70.71634728461116
2002,9,United Kingdom,37.41752002723191,90.86470579114761
2002,10,United Kingdom,128.43533981991783,71.92936192819964
2002,11,United Kingdom,124.45190242524994,98.55856730610172
2002,12,United Kingdom,89.1066493639327,96.57279865077133
2003,1,United Kingdom,91.184822781658,90.49556377350262
2003,2,United Kingdom,41.5779601052573,70.43397517560162
2003,3,United Kingdom,45.89846849590169,68.85804407511048
2003,4,United Kingdom,54.005809206287495,73.08299573217846
2003,5,United Kingdom,108.37150961257989,74.84999594914693
2003,6,United Kingdom,88.02659530729426,72.97464892545314
2003,7,United Kingdom,91.29063168241022,61.07148291849252
2003,8,United Kingdom,33.91603549754615,50.03539007189525
2003,9,United Kingdom,54.52340522415936,69.6420997986988
2003,10,United Kingdom,47.30979052647238,85.04554853652266
2003,11,United Kingdom,96.77748977915851,82.19893397758759
2003,12,United Kingdom,92.03046483524668,94.07868558538843
2004,1,United Kingdom,120.55798878712426,95.56879234548016
2004,2,United Kingdom,60.64837441654633,77.4978720348885
2004,3,United Kingdom,67.28530875796024,85.3326025272634
2004,4,United Kingdom,92.76394528524771,73.07411856836664
2004,5,United Kingdom,58.38212282178152,79.11625525352862
2004,6,United Kingdom,93.5085936343308,67.48103788555629
2004,7,United Kingdom,81.00824289941328,84.7554437575215
2004,8,United Kingdom,151.8000794336557,69.87084108957005
2004,9,United Kingdom,81.35498232023265,88.4888453614567
2004,10,United Kingdom,134.2807680441044,72.09127184328585
2004,11,United Kingdom,55.90384509291969,99.74523799649155
2004,12,United Kingdom,84.07280180831324,90.84110577920006
2005,1,United Kingdom,102.40502250949328,109.39175554951522
2005,2,United Kingdom,58.35428066569573,87.97162161849563
2005,3,United Kingdom,66.14817184850439,79.76059340079614
2005,4,United Kingdom,90.45154006369518,67.69085062792243
2005,5,United Kingdom,81.21551476326673,81.78069105390757
2005,6,United Kingdom,77.60504279446381,77.48490453287278
2005,7,United Kingdom,67.6799805259624,59.75952870945094
2005,8,United Kingdom,79.3256405324231,88.5820495110106
2005,9,United Kingdom,80.80799486451927,73.38986877418827
2005,10,United Kingdom,118.58707479051054,78.3897275143791
2005,11,United Kingdom,87.87321904438406,76.2032888519724
2005,12,United Kingdom,60.35000852428816,91.58214534842806
2006,1,United Kingdom,49.02337704313133,95.30047506834117
2006,2,United Kingdom,54.01496567014816,62.73697713405091
2006,3,United Kingdom,102.74866259180924,73.99457691234402
2006,4,United Kingdom,66.51198228030945,78.58305378810624
2006,5,United Kingdom,122.95158835393302,76.73517398905133
2006,6,United Kingdom,48.94484158571768,71.69124671721234
2006,7,United Kingdom,58.37154668086709,52.01427360735111
2006,8,United Kingdom,86.74352612924794,87.36900123767283
2006,9,United Kingdom,90.58650594107571,79.68531637522504
2006,10,United Kingdom,119.26673452424576,101.2714190457803
2006,11,United Kingdom,117.86725583565962,90.82646753204634
2006,12,United Kingdom,137.94948637864275,93.33378941696392
2007,1,United Kingdom,124.66871290560972,103.54997864430494
2007,2,United Kingdom,90.44165104211866,89.82791364887308
2007,3,United Kingdom,80.04065087886448,64.19330858016116
2007,4,United Kingdom,26.38561703710697,70.03601487048961
2007,5,United Kingdom,113.9720652514136,75.17169422249238
2007,6,United Kingdom,129.91582837839164,83.22859997576896
2007,7,United Kingdom,145.7255907366316,106.33943087464675
2007,8,United Kingdom,80.7339814452111,92.18207438879602
2007,9,United Kingdom,56.51372746325785,84.7983919055699
2007,10,United Kingdom,54.14606787159963,82.80599990656069
2007,11,United Kingdom,80.2913549865838,82.65571669737423
2007,12,United Kingdom,94.40135796473793,94.95453152309355
2008,1,United Kingdom,158.42835771857312,107.01135030485176
2008,2,United Kingdom,69.92804966738612,90.68253168926722
2008,3,United Kingdom,106.32757050229044,73.04313195425712
2008,4,United Kingdom,80.51870702561868,64.23206667478226
2008,5,United Kingdom,59.75599560987636,73.42325241561662
2008,6,United Kingdom,88.88187758525619,74.21261604297496
