year,month,country,avg_temp,monthly_rainfall_mm
1961,9,United Kingdom,13.648919079640898,71.66246801043384
1961,10,United Kingdom,9.65480255738428,109.40364896426492
1961,11,United Kingdom,5.163676916445333,56.23603089218948
1961,12,United Kingdom,1.9701236163413876,68.62153976746167
1962,1,United Kingdom,3.431541154648019,112.68942163150015
1962,2,United Kingdom,3.458480951402469,56.98942798659532
1962,3,United Kingdom,1.3309439513573351,43.59857746481173
1962,4,United Kingdom,6.222541570723855,74.31868829562613
1962,5,United Kingdom,8.767324815175732,80.24382298230431
1962,6,United Kingdom,12.359523270293344,46.76219346264432
1962,7,United Kingdom,13.367954633635073,69.15017962990011
1962,8,United Kingdom,12.98585354224286,104.17058044571888
1962,9,United Kingdom,11.270114538810114,93.44859096053176
1962,10,United Kingdom,9.488150823859996,38.3949282193862
1962,11,United Kingdom,4.346586086035624,69.54018768175266
1962,12,United Kingdom,2.101393634662005,76.51099018163445
1963,1,United Kingdom,-2.773064927923902,34.078815284958104
1963,2,United Kingdom,-2.19572209365112,32.0277674750999
1963,3,United Kingdom,4.299847192255612,95.5269839835778
1963,4,United Kingdom,6.756963258256049,67.73195077089467
1963,5,United Kingdom,8.977590407493977,80.1019609206825
1963,6,United Kingdom,13.219547795404296,91.5381344372907
1963,7,United Kingdom,13.645301397442068,64.18490325922777
1963,8,United Kingdom,12.86668126051966,106.64958731833224
1963,9,United Kingdom,11.510190951479933,68.80638680763676
1963,10,United Kingdom,9.820371518166834,72.03073953851525
1963,11,United Kingdom,6.487553289825604,126.65312116408398
1963,12,United Kingdom,2.145686712905128,25.402560556220248
1964,1,United Kingdom,2.938699622881767,36.85336296678947
1964,2,United Kingdom,3.110162033183908,32.41194759351066
1964,3,United Kingdom,3.385425611030579,72.67155305413839
1964,4,United Kingdom,7.28577010977855,86.80920540856923
1964,5,United Kingdom,11.428038424957284,78.74198643523503
1964,6,United Kingdom,12.34127066465475,82.80004888473529
1964,7,United Kingdom,14.256885379784308,65.28105624948067
1964,8,United Kingdom,13.740693362713964,78.54307708586435
1964,9,United Kingdom,12.705854908868597,63.95168853588802
1964,10,United Kingdom,8.208664325427645,63.13333563050637
1964,11,United Kingdom,6.510805547643905,58.34652289315977
1964,12,United Kingdom,2.715349981339465,101.56726064831406
1965,1,United Kingdom,2.0260709976827727,97.6353393160996
1965,2,United Kingdom,2.2031024717123784,24.50271258255824
1965,3,United Kingdom,3.9389394424134574,72.52310342498664
1965,4,United Kingdom,6.688690311725192,74.69474229425099
1965,5,United Kingdom,10.11187660902952,78.71134810464514
1965,6,United Kingdom,12.90389608695554,79.41042530932987
1965,7,United Kingdom,12.645911402648837,91.89252344899305
1965,8,United Kingdom,13.35563948789992,78.91316004480402
1965,9,United Kingdom,11.326206600830377,112.37257602223642
1965,10,United Kingdom,10.110645326199894,55.312881527915536
1965,11,United Kingdom,3.353171996795393,86.58130606742697
1965,12,United Kingdom,3.1421175441672906,121.99882038070452
1966,1,United Kingdom,1.7982918898150442,51.141251861178354
1966,2,United Kingdom,3.668765449793503,98.00309934461548
1966,3,United Kingdom,5.188130851022693,61.86849231396186
1966,4,United Kingdom,5.724752234111246,79.89263781604832
1966,5,United Kingdom,9.767678151326264,82.16830488654695
1966,6,United Kingdom,13.889480500676065,95.72591386779604
1966,7,United Kingdom,13.487354060249809,62.36211158477482
1966,8,United Kingdom,13.351048655211592,95.16458146857494
1966,9,United Kingdom,12.854645132066889,65.43031704087025
1966,10,United Kingdom,8.863588200231755,102.28749040841022
1966,11,United Kingdom,4.204500570575125,73.15699079806824
1966,12,United Kingdom,4.060224664259896,115.7958405025365
1967,1,United Kingdom,3.6374525501303134,64.82058431462922
1967,2,United Kingdom,4.339036923814391,91.69589301434812
1967,3,United Kingdom,5.397818788147485,89.02065115981495
1967,4,United Kingdom,6.55053019676226,58.44796377855846
1967,5,United Kingdom,8.761563333204137,135.54414366193657
1967,6,United Kingdom,12.87492094684074,44.77331503772824
1967,7,United Kingdom,14.673472094868778,68.05243070552997
1967,8,United Kingdom,13.900924678266229,85.68612171197375
1967,9,United Kingdom,12.254893695255094,101.1793711893484
1967,10,United Kingdom,9.288413861222812,150.28994628874426
1967,11,United Kingdom,5.112184489074466,74.8231527715973
1967,12,United Kingdom,3.737545534489522,67.61809003873772
1968,1,United Kingdom,3.246185795416519,95.3969285922087
1968,2,United Kingdom,0.6021080424357802,47.46736085584156
1968,3,United Kingdom,4.943486851473188,80.92820274165774
1968,4,United Kingdom,6.522973233254049,76.93710331392666
1968,5,United Kingdom,8.21544831759287,94.3327573057845
1968,6,United Kingdom,13.097077273011212,85.67866716000103
1968,7,United Kingdom,13.387506345520148,95.22830960726752
1968,8,United Kingdom,13.954664596590863,72.51835463537371
1968,9,United Kingdom,12.393257965659364,127.94263007554392
1968,10,United Kingdom,11.157350831008191,105.5150552589813
1968,11,United Kingdom,5.577434961338026,66.73762876198957
1968,12,United Kingdom,2.501593099062064,66.18309878754945
1969,1,United Kingdom,4.218116281866391,90.52735260817607
1969,2,United Kingdom,-0.0162369296711866,60.86648839175103
1969,3,United Kingdom,2.5503719084845327,55.3330379704473
1969,4,United Kingdom,5.847250667250491,68.8200787545117
1969,5,United Kingdom,9.390234219065771,115.83451316709444
1969,6,United Kingdom,12.5858897711173,64.54897577622513
1969,7,United Kingdom,14.85981940755088,59.68089972513674
1969,8,United Kingdom,14.773481703118131,78.45658177316776
1969,9,United Kingdom,12.640036974865788,64.67991567277375
1969,10,United Kingdom,11.77501718436212,50.22715178814601
1969,11,United Kingdom,3.977779130551373,103.88438972609045
1969,12,United Kingdom,2.784108007556436,85.78259166901351
1970,1,United Kingdom,2.969759587028144,84.54139350316893
1970,2,United Kingdom,1.3401401633977428,97.89433196477049
1970,3,United Kingdom,2.6193932453923634,69.37063702797126
1970,4,United Kingdom,5.088089899758751,92.5614489068027
1970,5,United Kingdom,10.969148225373434,50.05502208122773
1970,6,United Kingdom,14.698575083178584,56.040057746700725
1970,7,United Kingdom,13.240045432976462,88.54753279494578
1970,8,United Kingdom,14.54752080300946,91.47208341347672
1970,9,United Kingdom,12.749264269770498,94.15526838078851
1970,10,United Kingdom,9.652322556401932,87.32641369788662
1970,11,United Kingdom,6.346070783239206,139.4864509574246
1970,12,United Kingdom,3.667587636741376,52.596132584354905
1971,1,United Kingdom,3.9447531049649305,94.41007194557264
1971,2,United Kingdom,3.93426386979362,51.43088349612231
1971,3,United Kingdom,4.08696702546124,81.49181591990254
1971,4,United Kingdom,6.578432141831654,59.46851438429793
1971,5,United Kingdom,10.184427239559833,65.09152783003567
1971,6,United Kingdom,11.075495478045376,89.55317429294611
1971,7,United Kingdom,14.993258478360072,69.75171733369768
1971,8,United Kingdom,14.002265917469062,109.10487012802515
1971,9,United Kingdom,13.042760263561146,38.99028377736127
1971,10,United Kingdom,10.434569592234594,88.6349741780846
1971,11,United Kingdom,5.397680747080561,94.20306074479012
1971,12,United Kingdom,6.291565690068485,60.8068792964046
1972,1,United Kingdom,2.8675074080378726,113.41381154440772
1972,2,United Kingdom,3.3776643477245725,83.0642117426356
1972,3,United Kingdom,5.023254836944202,69.30235249951562
1972,4,United Kingdom,6.905797894938921,89.09309235178156
1972,5,United Kingdom,9.12358711331456,104.15204546759144
1972,6,United Kingdom,10.38717415123979,103.05755043507072
1972,7,United Kingdom,14.111645408591311,65.4319171116248
1972,8,United Kingdom,13.474437134297643,56.22106834705992
1972,9,United Kingdom,10.87533155636841,39.399889735609605
1972,10,United Kingdom,9.928042281554209,49.97173129760012
1972,11,United Kingdom,5.224477857601122,97.94711388968132
1972,12,United Kingdom,5.184265705069523,96.26618649878236
1973,1,United Kingdom,3.821349375349436,63.38404874993631
1973,2,United Kingdom,3.2198367054929293,49.73701828969861
1973,3,United Kingdom,5.08535362001864,41.49690747291754
1973,4,United Kingdom,5.409427680748978,71.05859203304922
1973,5,United Kingdom,9.615353716364217,90.86308620177392
1973,6,United Kingdom,13.228133221528465,68.28095844317578
1973,7,United Kingdom,14.121502431314866,84.35749736384325
1973,8,United Kingdom,14.709817758462,80.60293377056446
1973,9,United Kingdom,12.634043216496746,72.60422646547906
1973,10,United Kingdom,8.298093810524595,58.00176605673072
1973,11,United Kingdom,4.950935133492678,79.55851914184623
1973,12,United Kingdom,3.983686699591282,88.22805527186038
1974,1,United Kingdom,5.030183479027264,146.31051225320155
1974,2,United Kingdom,4.402042650262597,98.3397408517089
1974,3,United Kingdom,4.362571769397217,58.33534257253765
1974,4,United Kingdom,7.21109153751603,23.116836075288678
1974,5,United Kingdom,9.572189511801094,65.0372694719682
1974,6,United Kingdom,12.293037036732905,67.29104673429457
1974,7,United Kingdom,13.250094599935869,93.65043667590749
1974,8,United Kingdom,13.57162337225716,88.06064179349592
1974,9,United Kingdom,10.452844289089564,132.71087119834027
1974,10,United Kingdom,6.709353604440473,76.47236236367387
1974,11,United Kingdom,5.469390564714223,114.10021374446866
1974,12,United Kingdom,6.489352605603197,107.29821372963914
1975,1,United Kingdom,5.154908185468658,143.67036751754694
1975,2,United Kingdom,3.71955350676297,35.30172190886267
1975,3,United Kingdom,3.5323084154620448,69.69920368823865
1975,4,United Kingdom,6.5992894608490325,78.45055390333249
1975,5,United Kingdom,8.491415504560226,46.71333702438245
1975,6,United Kingdom,12.948856244688717,41.07496454106888
1975,7,United Kingdom,15.236525775465696,78.53923462535467
1975,8,United Kingdom,16.565315096587813,67.03904291188827
1975,9,United Kingdom,11.690784510672346,114.30899497290147
1975,10,United Kingdom,9.177186770471744,54.30642009330715
1975,11,United Kingdom,5.457450565124061,77.01826985214657
1975,12,United Kingdom,4.639062793881089,58.436837326296406
1976,1,United Kingdom,4.302616170850324,96.2836695503456
1976,2,United Kingdom,3.755573131778477,54.41511626950116
1976,3,United Kingdom,3.721330634747521,76.0324981525817
1976,4,United Kingdom,6.708945664614889,39.7406696978363
1976,5,United Kingdom,10.101158319406352,96.7026793747826
1976,6,United Kingdom,14.644118911493836,40.1151970336159
1976,7,United Kingdom,16.308217646607048,47.03132983156115
1976,8,United Kingdom,15.875478153012592,23.90926480877198
1976,9,United Kingdom,11.885745550611135,129.27315100221458
1976,10,United Kingdom,9.332470521654397,141.22546662946797
1976,11,United Kingdom,5.18980924065747,76.76519468777732
1976,12,United Kingdom,1.0186967220039378,69.23469119817263
1977,1,United Kingdom,1.595114639389835,88.6615919515692
1977,2,United Kingdom,3.1869771576911465,109.43404426699747
1977,3,United Kingdom,5.565249677900949,94.54013005767504
1977,4,United Kingdom,5.585439106895661,85.64844813647063
1977,5,United Kingdom,9.003375921261313,64.37520822874927
1977,6,United Kingdom,11.246489840002516,79.86717867284868
1977,7,United Kingdom,14.48824390667728,43.72834906561848
1977,8,United Kingdom,13.808707200307436,96.8042189059852
1977,9,United Kingdom,11.59884625240172,64.28775846815489
1977,10,United Kingdom,10.612362252712778,95.42791950997466
1977,11,United Kingdom,4.961528362426212,103.31020858222055
1977,12,United Kingdom,5.216288866522146,81.99733778877967
1978,1,United Kingdom,1.9869726786696889,109.00955128503264
1978,2,United Kingdom,1.2033313040796243,78.66859768081196
1978,3,United Kingdom,4.924222498352493,103.8676064568584
1978,4,United Kingdom,5.1751287526869545,56.852608474006345
1978,5,United Kingdom,10.290533243699958,45.01067248039867
1978,6,United Kingdom,12.229745777342226,66.45620490473729
1978,7,United Kingdom,13.162564635908458,82.06505672870992
1978,8,United Kingdom,13.515984573971824,82.14419840461143
1978,9,United Kingdom,12.518101884509813,86.2339695626444
1978,10,United Kingdom,10.81856414315148,50.01025170019573
1978,11,United Kingdom,7.475648178209435,88.34387818027862
1978,12,United Kingdom,3.2900632036632533,135.79778253157428
1979,1,United Kingdom,-0.769542346146147,78.28342247757368
1979,2,United Kingdom,0.0649531133766715,60.6795490427331
1979,3,United Kingdom,3.01454994185064,130.39410730554738
1979,4,United Kingdom,5.799275739694345,84.05167117759463
1979,5,United Kingdom,8.055097842934323,117.63329657937646
1979,6,United Kingdom,12.561106092433432,59.36649510222263
1979,7,United Kingdom,14.20464165477129,53.847296435993314
1979,8,United Kingdom,13.068180176203493,98.0906141937886
1979,9,United Kingdom,11.996176002163796,65.04598801508901
1979,10,United Kingdom,10.242144456565194,86.9005612767093
1979,11,United Kingdom,5.7981502666931615,106.47064065840586
1979,12,United Kingdom,4.273158336826006,137.4917097735741
1980,1,United Kingdom,1.418461985747822,76.52819889566668
1980,2,United Kingdom,4.54410194598105,86.36905893540711
1980,3,United Kingdom,3.356131737138704,96.89006820425205
1980,4,United Kingdom,7.24245894023814,27.1641719006724
1980,5,United Kingdom,10.005204891213967,39.23748975607263
1980,6,United Kingdom,12.295073502143437,125.26597939625056
1980,7,United Kingdom,13.207386581237367,102.09092619499012
1980,8,United Kingdom,14.195275440997571,101.53821785303847
1980,9,United Kingdom,13.0860288154962,105.23764463794784
1980,10,United Kingdom,7.869205475527509,124.3984373887718
1980,11,United Kingdom,5.49477788353083,100.62734033948682
1980,12,United Kingdom,4.612004366732741,103.21071292342198
1981,1,United Kingdom,3.738537016689015,81.89403927126848
1981,2,United Kingdom,2.393705942011396,61.13834368171612
1981,3,United Kingdom,6.035277095289778,132.7567521107921
1981,4,United Kingdom,6.567377624291892,53.231026089359794
1981,5,United Kingdom,10.115435207201685,106.24312293765074
1981,6,United Kingdom,11.740161835665411,70.41066898573565
1981,7,United Kingdom,13.73046571959944,74.4281489400033
1981,8,United Kingdom,14.686357364536168,47.43655232656904
1981,9,United Kingdom,13.086222912230244,146.08959244387705
1981,10,United Kingdom,6.8793660363774745,135.80566001176473
1981,11,United Kingdom,6.481747936114051,99.578363920628
1981,12,United Kingdom,-0.2951756790912341,75.36993742383706
1982,1,United Kingdom,2.0863887953833387,94.64160749208745
1982,2,United Kingdom,4.364558956935119,65.99328964881434
1982,3,United Kingdom,4.675934605261865,110.8491143878516
1982,4,United Kingdom,7.272051934414209,37.796888696406015
1982,5,United Kingdom,9.993311370046326,70.54088802480784
1982,6,United Kingdom,13.51216074739764,105.63265168180646
1982,7,United Kingdom,14.924207345238893,54.24578391366187
1982,8,United Kingdom,14.125358885391533,104.49662063163798
1982,9,United Kingdom,12.496263774353771,107.78056434094282
1982,10,United Kingdom,9.230926395030682,121.44752380115614
1982,11,United Kingdom,6.483794949400484,134.92995570426507
1982,12,United Kingdom,3.299239865247684,99.42689627457264
1983,1,United Kingdom,5.334284170534062,126.34387837393776
1983,2,United Kingdom,1.3183860380333945,42.69306302721623
1983,3,United Kingdom,5.190891912176477,89.8243856109445
1983,4,United Kingdom,5.13238752863493,95.55390943329776
1983,5,United Kingdom,8.621416710262372,118.88704331852485
1983,6,United Kingdom,12.337689565799282,58.60014385163581
1983,7,United Kingdom,16.851256319733235,44.33875764411229
1983,8,United Kingdom,15.615321750526396,36.32640915722873
1983,9,United Kingdom,12.037637908553965,112.95643829599122
1983,10,United Kingdom,9.28362934118822,112.2615179668216
1983,11,United Kingdom,6.681999438364061,48.81348953066859
1983,12,United Kingdom,5.108109892223575,126.51907740585146
1984,1,United Kingdom,2.0229151547682984,138.21168008595595
1984,2,United Kingdom,3.104888496653605,66.43940492024873
1984,3,United Kingdom,3.527517151999872,75.71984342069747
1984,4,United Kingdom,6.951088736630535,35.942990627466884
1984,5,United Kingdom,9.119506919138098,51.28248121852762
1984,6,United Kingdom,12.873464928053728,57.37475229291312
1984,7,United Kingdom,15.207839040652315,36.87296839770124
1984,8,United Kingdom,15.751575307041389,60.57660591096356
1984,9,United Kingdom,11.918950456855722,116.54672437477632
